review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000003,ORD-20250709-562719,CUST-10298,REST-DXB-001,Enjoyed the Chole Bhature and Palak Paneer! Palak Paneer was very good. Portion sizes were generous. Recommend!,4,2025-07-11T21:59:17.245498
REV-000001,ORD-20250705-387200,CUST-10456,REST-AUH-001,Great food overall. Mango Lassi  Naan  and Vegetable Biryani were tasty  especially the Naan. Would order again!,4,2025-07-11T22:49:46.245498
REV-000002,ORD-20250709-692504,CUST-10203,REST-SHJ-001,Disappointed with Dal Makhani and Gajar Halwa. Dal Makhani was cold when it arrived. Not worth the money.,2,2025-07-12T20:46:39.245498
REV-000004,ORD-20250714-449739,CUST-10133,REST-SHJ-001,Incredible meal! Paneer Butter Masala  Chicken Biryani  Mango Lassi  and Aloo Tikki Chaat arrived hot and fresh. The Chicken Biryani was absolutely divine. Highly satisfied!,5,2025-07-20T17:03:25.245498
REV-000005,ORD-20250717-940460,CUST-10205,REST-SHJ-001,Unsatisfactory. Malai Kofta  Fish Curry  and Dal Makhani were not fresh. Malai Kofta tasted reheated. Won't order again.,2,2025-07-20T18:50:35.245498
REV-000006,ORD-20250720-423962,CUST-10289,REST-SHJ-001,Incredible meal! Jeera Rice and Butter Chicken arrived hot and fresh. The Jeera Rice was absolutely divine. Highly satisfied!,5,2025-07-26T12:54:09.245498
REV-000007,ORD-20250723-353874,CUST-10325,REST-DXB-002,Great food overall. Naan  Gulab Jamun (2 pcs)  and Fresh Lime Soda were tasty  especially the Fresh Lime Soda. Would order again!,4,2025-07-29T13:07:22.245498
REV-000008,ORD-20250726-624917,CUST-10481,REST-AUH-002,Exceptional quality! Ordered Naan and everything was delicious. The Naan melted in my mouth. Perfect!,5,2025-08-01T19:05:37.245498
REV-000011,ORD-20250803-336021,CUST-10057,REST-AUH-002,Appalling quality! Fish Curry  Chicken Biryani  Garlic Naan  and Chicken Seekh Kebab were swimming in oil. Fish Curry was raw inside. Health hazard!,1,2025-08-04T15:20:54.245498
REV-000009,ORD-20250728-588948,CUST-10280,REST-DXB-002,Hands down the best Butter Naan I've ever had! Butter Naan were all prepared beautifully. Fresh and flavorful!,5,2025-08-04T22:19:10.245498
REV-000010,ORD-20250802-846222,CUST-10338,REST-SHJ-001,Perfect in every way! Butter Naan and Gajar Halwa were all excellent. Gajar Halwa stood out with its rich  authentic taste.,5,2025-08-08T13:27:30.245498
REV-000012,ORD-20250810-162315,CUST-10483,REST-DXB-001,Unsatisfactory. Chicken Tikka Masala  Samosa (2 pcs)  Mango Lassi  Dal Makhani  and Naan were not fresh. Naan tasted reheated. Won't order again.,2,2025-08-13T14:15:37.245498
REV-000013,ORD-20250811-726327,CUST-10277,REST-SHJ-001,Very satisfied! Garlic Naan  Chole Bhature  and Malai Kofta were fresh and flavorful. Garlic Naan was the standout dish.,4,2025-08-14T15:56:44.245498
REV-000014,ORD-20250821-998690,CUST-10425,REST-AUH-002,Incredible meal! Fresh Lime Soda  Masala Chai  Chicken Seekh Kebab  and Jeera Rice arrived hot and fresh. The Jeera Rice was absolutely divine. Highly satisfied!,5,2025-08-25T14:33:20.245498
REV-000016,ORD-20250826-650370,CUST-10186,REST-AUH-002,Very satisfied! Butter Naan  Butter Chicken  and Aloo Tikki Chaat were fresh and flavorful. Butter Chicken was the standout dish.,4,2025-08-27T11:17:55.245498
REV-000015,ORD-20250824-866384,CUST-10318,REST-AUH-001,Wow! Just wow! Fish Curry  Vegetable Biryani  and Butter Naan were all fantastic. Fish Curry was particularly memorable. Can't wait to order again!,5,2025-08-31T10:43:00.245498
REV-000018,ORD-20250829-159182,CUST-10212,REST-SHJ-001,Solid experience. Mango Lassi  Fresh Lime Soda  and Dal Makhani were well-prepared. Dal Makhani had great flavor. Minor issues with packaging.,4,2025-09-01T11:44:36.245498
REV-000017,ORD-20250827-260235,CUST-10212,REST-AUH-001,Absolutely amazing Butter Chicken! The Butter Chicken was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-09-01T12:58:40.245498
REV-000019,ORD-20250830-487795,CUST-10374,REST-SHJ-001,Disappointed with Rasmalai (2 pcs)  Chicken Biryani  and Chole Bhature. Chicken Biryani was cold when it arrived. Not worth the money.,2,2025-09-04T17:37:07.245498
REV-000020,ORD-20250905-310103,CUST-10343,REST-DXB-001,Outstanding experience! The Paneer Tikka  Rasmalai (2 pcs)  Palak Paneer  Chicken 65  and Mango Lassi exceeded all expectations. Rasmalai (2 pcs) was the star of the meal. Will definitely order again!,5,2025-09-08T14:44:36.245498
REV-000021,ORD-20250905-373914,CUST-10061,REST-SHJ-001,Incredible meal! Gulab Jamun (2 pcs)  Paneer Butter Masala  Mango Lassi  and Rasmalai (2 pcs) arrived hot and fresh. The Mango Lassi was absolutely divine. Highly satisfied!,5,2025-09-12T22:59:16.245498
REV-000022,ORD-20250907-852222,CUST-10014,REST-SHJ-001,Really good Chicken Seekh Kebab and Tandoori Roti! The Chicken Seekh Kebab was delicious. Slight delay in delivery but food quality made up for it.,4,2025-09-14T16:50:19.245498
REV-000026,ORD-20250915-161806,CUST-10239,REST-AUH-001,Decent food but nothing special. Mango Lassi and Chicken Biryani were okay. Chicken Biryani lacked the punch I expected.,3,2025-09-16T12:40:34.245498
REV-000023,ORD-20250911-464727,CUST-10219,REST-DXB-002,Incredible meal! Gulab Jamun (2 pcs)  Rasmalai (2 pcs)  Aloo Tikki Chaat  Fish Curry  and Chicken Seekh Kebab arrived hot and fresh. The Chicken Seekh Kebab was absolutely divine. Highly satisfied!,5,2025-09-16T20:48:47.245498
REV-000024,ORD-20250914-790182,CUST-10393,REST-DXB-001,Enjoyed the Naan  Samosa (2 pcs)  Aloo Tikki Chaat  Vegetable Biryani  and Paneer Butter Masala! Vegetable Biryani was very good. Portion sizes were generous. Recommend!,4,2025-09-18T14:51:57.245498
REV-000025,ORD-20250915-474182,CUST-10214,REST-DXB-002,Exceptional quality! Ordered Paneer Tikka  Samosa (2 pcs)  Vegetable Biryani  and Tandoori Roti and everything was delicious. The Paneer Tikka melted in my mouth. Perfect!,5,2025-09-21T12:20:04.245498
REV-000027,ORD-20250916-436656,CUST-10335,REST-DXB-002,Hands down the best Butter Naan I've ever had! Butter Naan  Jeera Rice  and Mango Lassi were all prepared beautifully. Fresh and flavorful!,5,2025-09-22T11:33:51.245498
REV-000029,ORD-20250922-635372,CUST-10470,REST-SHJ-001,Appalling quality! Rasmalai (2 pcs)  Masala Chai  Aloo Tikki Chaat  Fish Curry  and Chicken Biryani were swimming in oil. Fish Curry was raw inside. Health hazard!,1,2025-09-25T21:23:09.245498
REV-000028,ORD-20250920-737772,CUST-10387,REST-AUH-002,Wow! Just wow! Malai Kofta  Lamb Rogan Josh  and Butter Chicken were all fantastic. Lamb Rogan Josh was particularly memorable. Can't wait to order again!,5,2025-09-26T21:33:36.245498
REV-000030,ORD-20250929-714280,CUST-10486,REST-DXB-001,Enjoyed the Naan and Fresh Lime Soda! Fresh Lime Soda was very good. Portion sizes were generous. Recommend!,4,2025-10-01T20:56:39.245498
